portfolio,size_quintile,bm_quintile,alpha_pct,beta_mkt,beta_smb,beta_hml,nw12_t_alpha,nw12_t_mkt,nw12_t_smb,nw12_t_hml,r2,n_months
S1B1,1,1,-0.02012213783410821,0.9589559081926942,1.1411496300643307,-0.03223558728728193,-0.17483444977947138,37.13984737898496,17.196449443669493,-0.5534200924053593,0.9290090992725549,189
S1B2,1,2,0.49149894722866827,0.9539397754820361,1.1804222905280022,-0.3037212547645789,4.016745584898434,48.5263775237743,24.687733674210293,-3.711434223507004,0.9585915592217962,189
S1B3,1,3,0.6446176248287168,0.9690672516071046,1.1427751194013962,-0.13465937016526364,6.155825037473712,35.3110225361914,24.308481102788814,-2.27605491991588,0.9587462760431121,189
S1B4,1,4,0.5978333493474784,0.9574384721588433,1.1027496180145877,0.0044272042950035395,2.3450780484502536,37.015890746275375,22.76507384048163,0.07087967440942076,0.877889928489092,189
S1B5,1,5,0.31341371148365044,1.016486633634776,1.0630303353469113,0.25432019484399304,2.1542273203946998,24.604917440441,20.149662385731208,3.057658353151526,0.9256410005323449,189
S2B1,2,1,-0.3644431025277251,0.9911157770130987,0.874378306300257,-0.4099239510990371,-3.679052601120447,58.427212148794965,18.102356496652504,-8.696166978601257,0.962575252933733,189
S2B2,2,2,-0.02767415575651482,1.0059620312129554,0.8952366891495873,-0.3555704118846057,-0.3244507519644161,63.292608224648504,17.386550049490328,-8.023821679080301,0.9683002030526331,189
S2B3,2,3,0.2334717062076651,0.9658042028109183,0.8979481232240866,-0.19956850863956,2.066368844912183,34.8116641451408,20.479122441199443,-3.4239755222896235,0.9534282016708482,189
S2B4,2,4,0.015494980996693004,1.022640301170805,0.884210005314741,-0.08838962787767901,0.15822791306059622,56.3414499704592,24.275745580612067,-1.3607128252345528,0.964573287881804,189
S2B5,2,5,0.012689869618003925,1.0640084107459447,0.8451838280186159,0.31577952415503907,0.10027047682679051,40.13960860048114,34.17330419474493,6.811425268230938,0.9534704235844064,189
S3B1,3,1,-0.11549623526579565,0.9911645512720035,0.6412401125295791,-0.6615467901151455,-0.8363835639827177,39.27062755660588,10.798626740348844,-10.155136214599226,0.9492423221568198,189
S3B2,3,2,-0.1097643777421573,0.9936321446332668,0.6692879174264205,-0.49208601514942907,-0.729402446222504,71.11775750330514,10.858840028783607,-10.55153711240851,0.9535597609280015,189
S3B3,3,3,0.0686038682809322,1.0073642389820052,0.6811190880644604,-0.40834812914209584,0.49870423314414886,29.94074226760392,9.487827333596734,-4.076124773603415,0.9306994430243825,189
S3B4,3,4,-0.12693257027837443,1.0619306661721315,0.612551268462545,-0.10071391230685478,-0.9756359884564076,32.79476706475369,12.337897044282762,-2.3371663169765693,0.9571255303511422,189
S3B5,3,5,-0.13317766312180043,1.089552942912674,0.5537056129631645,0.39774656508229755,-1.008743146530397,47.102534047308836,15.523289448632104,6.496122065355461,0.9347236333163231,189
S4B1,4,1,-0.06624037865548141,0.9340143130407141,0.3038613849563725,-0.8236068203009401,-0.5017353189229711,28.274117207168384,3.9454274116481436,-12.999851399890332,0.937021140580832,189
S4B2,4,2,-0.020815427708213274,0.9941183748606998,0.32194875653802757,-0.5739943243812493,-0.15177987110180444,35.20207936288241,4.646486229690546,-9.691547664126151,0.9418748144810948,189
S4B3,4,3,-0.19162554634138068,1.066915863639736,0.36996662137035313,-0.3135059180990738,-1.4134186403101074,26.924016170640183,4.401711724693146,-3.6324576648417013,0.9357859387048426,189
S4B4,4,4,-0.22175087856312897,1.0941669967166439,0.31397587653903836,-0.08069504311572062,-1.7572092710655662,22.469463604311162,5.911642850183113,-1.1745710567183494,0.9149682683690302,189
S4B5,4,5,-0.16489028072454814,1.127423602941331,0.40367243336723135,0.40693600250487133,-1.7933484782084999,32.98162544573232,6.303644262787136,5.938524524051522,0.9207854940804765,189
S5B1,5,1,0.32157289505248277,0.951819549649129,-0.380165283189864,-0.901232360715979,2.5403054411788264,33.46093354899922,-9.720355384185874,-13.176079467172478,0.9372085605182614,189
S5B2,5,2,0.25589102506402467,1.049575283127925,-0.2776990051000385,-0.4283790753436625,1.2707379309072107,22.41883734478295,-4.658671296284876,-7.237439246001337,0.9161240954075522,189
S5B3,5,3,-0.12779228986141516,1.096302400741572,-0.18787338457197347,-0.05186085145501845,-0.656436827682171,28.43166142347482,-2.9305438281202054,-0.9329013610825114,0.8956130449062376,189
S5B4,5,4,-0.08634633420625276,1.1582014275257637,-0.21839059706170427,0.2471785055651936,-0.7525005176279224,37.77545670960883,-6.241105395142825,4.869170211551328,0.9364387369039795,189
S5B5,5,5,0.13201364177575364,0.8730575902387979,-0.16023022791473052,0.7456742658065848,1.6268952674950685,43.27113788413354,-5.448148581424405,25.802628183906375,0.961668314789261,189
